,id,breed
145,n02096177_130,cairn
146,n02105641_14263,old_english_sheepdog
147,n02091467_2080,norwegian_elkhound
148,n02113624_4112,toy_poodle
149,n02112706_1065,brabancon_griffon
150,n02085782_2939,japanese_spaniel
151,n02098105_2256,soft
152,n02105251_8930,briard
153,n02106550_8437,rottweiler
154,n02091134_11875,whippet
155,n02099601_3853,golden_retriever
156,n02090622_8009,borzoi
157,n02112706_2042,brabancon_griffon
158,n02092002_7539,scottish_deerhound
159,n02112018_6149,pomeranian
160,n02086079_9316,pekinese
161,n02105251_3746,briard
162,n02090721_3527,irish_wolfhound
163,n02097474_1967,tibetan_terrier
164,n02101556_7677,clumber
165,n02085620_14413,chihuahua
166,n02101388_1965,brittany_spaniel
167,n02100735_8515,english_setter
168,n02094433_259,yorkshire_terrier
169,n02106166_6833,border_collie
170,n02113023_6655,pembroke
171,n02091244_1000,ibizan_hound
172,n02108089_14719,boxer
173,n02104365_9873,schipperke
174,n02097130_5840,giant_schnauzer
175,n02110958_13597,pug
176,n02090622_5211,borzoi
177,n02115641_3736,dingo
178,n02111500_7591,great_pyrenees
179,n02094258_3153,norwich_terrier
180,n02096177_9708,cairn
181,n02110063_11887,malamute
182,n02111277_4924,newfoundland
183,n02098413_1473,lhasa
184,n02111277_2272,newfoundland
185,n02085782_2118,japanese_spaniel
186,n02100877_1061,irish_setter
187,n02091032_3213,italian_greyhound
188,n02097474_7374,tibetan_terrier
189,n02109047_33588,great_dane
190,n02096437_3985,dandie_dinmont
191,n02091635_2766,otterhound
192,n02116738_8489,african_hunting_dog
193,n02108089_11687,boxer
194,n02108915_618,french_bulldog
195,n02097658_1917,silky_terrier
196,n02090622_6293,borzoi
197,n02095889_1476,sealyham_terrier
198,n02113624_479,toy_poodle
199,n02113186_377,cardigan
200,n02096294_459,australian_terrier
201,n02096051_5048,airedale
202,n02090721_1235,irish_wolfhound
203,n02110806_4012,basenji
204,n02093647_2321,bedlington_terrier
205,n02101556_2725,clumber
206,n02098286_4876,west_highland_white_terrier
207,n02094258_2842,norwich_terrier
208,n02110806_3513,basenji
209,n02100877_6183,irish_setter
210,n02094433_4588,yorkshire_terrier
211,n02112706_1298,brabancon_griffon
212,n02088238_8140,basset
213,n02093256_911,staffordshire_bullterrier
214,n02105505_3650,komondor
215,n02099849_2153,chesapeake_bay_retriever
216,n02110185_14056,siberian_husky
217,n02096051_2314,airedale
218,n02089973_1255,english_foxhound
219,n02101388_3294,brittany_spaniel
220,n02112137_17733,chow
221,n02113978_2888,mexican_hairless
222,n02086240_7978,shih
223,n02102973_1725,irish_water_spaniel
224,n02115641_5815,dingo
225,n02087046_7400,toy_terrier
226,n02102040_2762,english_springer
227,n02111889_5489,samoyed
228,n02088632_2149,bluetick
229,n02085620_7738,chihuahua
230,n02091467_5450,norwegian_elkhound
231,n02098413_4592,lhasa
232,n02091467_3071,norwegian_elkhound
233,n02099712_5263,labrador_retriever
234,n02108915_7806,french_bulldog
235,n02096051_183,airedale
236,n02108089_7853,boxer
237,n02105641_10800,old_english_sheepdog
238,n02096177_475,cairn
239,n02097474_2404,tibetan_terrier
240,n02101556_2002,clumber
241,n02095889_4056,sealyham_terrier
242,n02106166_5,border_collie
243,n02091635_2603,otterhound
244,n02105056_4533,groenendael
245,n02113186_6058,cardigan
246,n02110063_13798,malamute
247,n02106166_2458,border_collie
248,n02091831_8223,saluki
249,n02110627_6842,affenpinscher
250,n02115641_3494,dingo
251,n02091032_658,italian_greyhound
252,n02091831_3433,saluki
253,n02085782_3420,japanese_spaniel
254,n02098105_3265,soft
255,n02096177_11547,cairn
256,n02105251_1588,briard
257,n02106662_4498,german_shepherd
258,n02085620_1862,chihuahua
259,n02110958_11194,pug
260,n02087394_1352,rhodesian_ridgeback
261,n02106662_19791,german_shepherd
262,n02095889_2977,sealyham_terrier
263,n02095570_393,lakeland_terrier
264,n02094114_1173,norfolk_terrier
265,n02094433_2678,yorkshire_terrier
266,n02116738_3422,african_hunting_dog
267,n02102040_535,english_springer
268,n02102318_89,cocker_spaniel
269,n02096177_4587,cairn
270,n02086910_5408,papillon
271,n02113186_694,cardigan
272,n02115641_7158,dingo
273,n02093859_827,kerry_blue_terrier
274,n02113978_124,mexican_hairless
275,n02086910_6087,papillon
276,n02113023_4782,pembroke
277,n02105251_7349,briard
278,n02113978_2441,mexican_hairless
279,n02110958_6627,pug
280,n02108000_1512,entlebucher
281,n02108915_1119,french_bulldog
282,n02107142_30,doberman
283,n02105505_2872,komondor
284,n02113978_118,mexican_hairless
285,n02112018_276,pomeranian
286,n02105855_17517,shetland_sheepdog
287,n02105251_3436,briard
288,n02089078_727,black
289,n02096437_2224,dandie_dinmont
290,n02110185_1794,siberian_husky
291,n02107683_4649,bernese_mountain_dog
292,n02106662_16891,german_shepherd
293,n02091244_746,ibizan_hound
294,n02099849_130,chesapeake_bay_retriever
295,n02105855_13611,shetland_sheepdog
296,n02110627_7404,affenpinscher
297,n02108551_2000,tibetan_mastiff
298,n02089973_2054,english_foxhound
299,n02097658_5273,silky_terrier
300,n02111500_389,great_pyrenees
301,n02102318_8406,cocker_spaniel
302,n02085782_2014,japanese_spaniel
303,n02088466_3568,bloodhound
304,n02106166_4966,border_collie
305,n02106550_4138,rottweiler
306,n02100735_4035,english_setter
307,n02112350_6007,keeshond
308,n02096177_737,cairn
309,n02108089_3269,boxer
310,n02095889_5781,sealyham_terrier
311,n02094258_1778,norwich_terrier
312,n02087046_2199,toy_terrier
313,n02097130_5675,giant_schnauzer
314,n02106030_991,collie
315,n02094258_230,norwich_terrier
316,n02115913_739,dhole
317,n02111889_15995,samoyed
318,n02108089_770,boxer
319,n02100735_2428,english_setter
320,n02088238_658,basset
321,n02088238_4374,basset
322,n02097298_3579,scotch_terrier
323,n02109961_10774,eskimo_dog
324,n02098105_2078,soft
325,n02112137_14881,chow
326,n02100583_10249,vizsla
327,n02094258_1003,norwich_terrier
328,n02095570_324,lakeland_terrier
329,n02105505_4436,komondor
330,n02086910_7321,papillon
331,n02102318_9755,cocker_spaniel
332,n02092339_6401,weimaraner
333,n02086240_6795,shih
334,n02116738_4323,african_hunting_dog
335,n02088364_4527,beagle
336,n02096437_3112,dandie_dinmont
337,n02108000_2064,entlebucher
338,n02089973_2551,english_foxhound
339,n02105505_4180,komondor
340,n02100877_5404,irish_setter
341,n02093754_7902,border_terrier
342,n02101556_2677,clumber
343,n02098413_20774,lhasa
344,n02113799_1743,standard_poodle
345,n02111500_241,great_pyrenees
346,n02102973_1318,irish_water_spaniel
347,n02098413_754,lhasa
348,n02091831_3067,saluki
349,n02113978_3722,mexican_hairless
350,n02112350_8434,keeshond
351,n02102040_2986,english_springer
352,n02098413_5201,lhasa
353,n02093754_717,border_terrier
354,n02106550_10635,rottweiler
355,n02112706_2027,brabancon_griffon
356,n02108000_1832,entlebucher
357,n02107574_1028,greater_swiss_mountain_dog
358,n02108551_2014,tibetan_mastiff
359,n02108089_2740,boxer
360,n02102177_248,welsh_springer_spaniel
361,n02106030_4592,collie
362,n02096437_3431,dandie_dinmont
363,n02111500_2747,great_pyrenees
364,n02088466_6532,bloodhound
365,n02098413_5476,lhasa
366,n02105641_6534,old_english_sheepdog
367,n02108915_3184,french_bulldog
368,n02091244_939,ibizan_hound
369,n02095889_660,sealyham_terrier
370,n02095889_4159,sealyham_terrier
371,n02105855_7896,shetland_sheepdog
372,n02097474_978,tibetan_terrier
373,n02085782_2250,japanese_spaniel
374,n02086910_2016,papillon
375,n02108089_2796,boxer
376,n02105505_853,komondor
377,n02112018_11071,pomeranian
378,n02091831_13507,saluki
379,n02091134_6159,whippet
380,n02100877_123,irish_setter
381,n02108422_2623,bull_mastiff
382,n02094114_1847,norfolk_terrier
383,n02089078_111,black
384,n02086079_21987,pekinese
385,n02105056_2649,groenendael
386,n02097209_944,standard_schnauzer
387,n02106030_10170,collie
388,n02105505_475,komondor
389,n02098105_779,soft
390,n02091032_7838,italian_greyhound
391,n02104029_4317,kuvasz
392,n02096177_606,cairn
393,n02086910_695,papillon
394,n02099712_1229,labrador_retriever
395,n02111129_4958,leonberg
396,n02090721_3470,irish_wolfhound
397,n02108422_2209,bull_mastiff
398,n02086910_2691,papillon
399,n02093991_3905,irish_terrier
400,n02108089_2653,boxer
401,n02094258_201,norwich_terrier
402,n02101006_2445,gordon_setter
403,n02102177_2010,welsh_springer_spaniel
404,n02098286_4575,west_highland_white_terrier
405,n02112018_9753,pomeranian
406,n02109961_18163,eskimo_dog
407,n02112350_9461,keeshond
408,n02113186_13272,cardigan
409,n02102318_9254,cocker_spaniel
410,n02110958_13506,pug
411,n02088466_8335,bloodhound
412,n02090622_6976,borzoi
413,n02111129_5163,leonberg
414,n02108000_3497,entlebucher
415,n02113023_4611,pembroke
416,n02108089_11154,boxer
417,n02085936_4506,maltese_dog
418,n02091467_4489,norwegian_elkhound
419,n02088364_7324,beagle
420,n02111129_3028,leonberg
421,n02093428_8135,american_staffordshire_terrier
422,n02097658_46,silky_terrier
423,n02105162_2873,malinois
424,n02106166_2072,border_collie
425,n02100877_237,irish_setter
426,n02112018_554,pomeranian
427,n02097298_2583,scotch_terrier
428,n02105251_8027,briard
429,n02097474_2318,tibetan_terrier
430,n02095570_1752,lakeland_terrier
431,n02110627_13210,affenpinscher
432,n02109525_13356,saint_bernard
433,n02096585_12776,boston_bull
434,n02099601_6577,golden_retriever
435,n02097209_221,standard_schnauzer
436,n02102973_1609,irish_water_spaniel
437,n02106030_5041,collie
438,n02111889_6781,samoyed
439,n02106662_16418,german_shepherd
440,n02102177_2260,welsh_springer_spaniel
441,n02096437_2070,dandie_dinmont
442,n02096051_6657,airedale
443,n02113023_6383,pembroke
444,n02088094_913,afghan_hound
445,n02111500_2596,great_pyrenees
446,n02090721_2047,irish_wolfhound
447,n02113624_764,toy_poodle
448,n02102177_1922,welsh_springer_spaniel
449,n02100735_10188,english_setter
450,n02111277_5845,newfoundland
451,n02109047_21567,great_dane
452,n02092002_7825,scottish_deerhound
453,n02092002_12414,scottish_deerhound
454,n02098105_4120,soft
455,n02104029_2656,kuvasz
456,n02116738_8341,african_hunting_dog
457,n02100735_6821,english_setter
458,n02100583_2707,vizsla
459,n02105505_861,komondor
460,n02089867_1824,walker_hound
461,n02110806_3827,basenji
462,n02089078_2801,black
463,n02107683_2312,bernese_mountain_dog
464,n02085936_6746,maltese_dog
465,n02101006_2513,gordon_setter
466,n02096585_8971,boston_bull
467,n02109961_4428,eskimo_dog
468,n02091032_9018,italian_greyhound
469,n02097658_271,silky_terrier
470,n02085782_3810,japanese_spaniel
471,n02085620_4159,chihuahua
472,n02106550_8383,rottweiler
473,n02095314_2424,wire
474,n02109047_906,great_dane
475,n02108089_3547,boxer
476,n02113023_1380,pembroke
477,n02091134_524,whippet
478,n02109525_10032,saint_bernard
479,n02112137_6282,chow
480,n02107574_445,greater_swiss_mountain_dog
481,n02099429_355,curly
482,n02090721_654,irish_wolfhound
483,n02091032_8265,italian_greyhound
484,n02090622_6639,borzoi
485,n02107908_94,appenzeller
486,n02086240_5140,shih
487,n02086079_10294,pekinese
488,n02096294_5466,australian_terrier
489,n02093647_1226,bedlington_terrier
490,n02104365_6551,schipperke
491,n02098413_1718,lhasa
492,n02111277_6885,newfoundland
493,n02111277_11806,newfoundland
494,n02095314_1894,wire
495,n02105641_11651,old_english_sheepdog
496,n02097209_548,standard_schnauzer
497,n02106030_15840,collie
498,n02097209_908,standard_schnauzer
499,n02106550_4072,rottweiler
500,n02112018_11105,pomeranian
501,n02102973_723,irish_water_spaniel
502,n02089867_3928,walker_hound
503,n02085936_4897,maltese_dog
504,n02109047_24258,great_dane
505,n02113712_3261,miniature_poodle
506,n02091467_3469,norwegian_elkhound
507,n02110627_8856,affenpinscher
508,n02087046_4039,toy_terrier
509,n02105056_5290,groenendael
510,n02093428_4997,american_staffordshire_terrier
511,n02105641_7030,old_english_sheepdog
512,n02090379_980,redbone
513,n02110185_14650,siberian_husky
514,n02101006_2501,gordon_setter
515,n02086910_7019,papillon
516,n02115641_6250,dingo
517,n02101006_1249,gordon_setter
518,n02095889_4432,sealyham_terrier
519,n02115641_7222,dingo
520,n02102318_10218,cocker_spaniel
521,n02105251_5985,briard
522,n02090721_4353,irish_wolfhound
523,n02111129_1383,leonberg
524,n02109961_6020,eskimo_dog
525,n02093428_164,american_staffordshire_terrier
526,n02108551_226,tibetan_mastiff
527,n02100236_3836,german_short
528,n02112137_3484,chow
529,n02105162_8830,malinois
530,n02092339_4410,weimaraner
531,n02105162_8072,malinois
532,n02089078_641,black
533,n02088094_3858,afghan_hound
534,n02089078_2841,black
535,n02113799_4740,standard_poodle
536,n02086646_3986,blenheim_spaniel
537,n02106550_11870,rottweiler
538,n02100877_4332,irish_setter
539,n02086910_9710,papillon
540,n02091244_119,ibizan_hound
541,n02091635_2,otterhound
542,n02113186_13333,cardigan
543,n02105505_4143,komondor
544,n02108000_3601,entlebucher
545,n02115641_9272,dingo
546,n02110958_15722,pug
547,n02088094_2700,afghan_hound
548,n02095889_931,sealyham_terrier
549,n02086079_16268,pekinese
550,n02094114_3686,norfolk_terrier
551,n02090622_3615,borzoi
552,n02111277_6063,newfoundland
553,n02110806_5114,basenji
554,n02097298_6261,scotch_terrier
555,n02096177_5147,cairn
556,n02112137_2453,chow
557,n02091467_6372,norwegian_elkhound
558,n02111129_5237,leonberg
559,n02111889_4073,samoyed
560,n02107683_3297,bernese_mountain_dog
561,n02092002_1438,scottish_deerhound
562,n02100735_5435,english_setter
563,n02093428_10896,american_staffordshire_terrier
564,n02097658_2535,silky_terrier
565,n02098413_2584,lhasa
566,n02090622_4005,borzoi
567,n02088466_9359,bloodhound
568,n02100583_10844,vizsla
569,n02113023_3913,pembroke
570,n02095889_5241,sealyham_terrier
571,n02109525_1271,saint_bernard
572,n02105251_2439,briard
573,n02088466_1262,bloodhound
574,n02097298_11702,scotch_terrier
575,n02098105_1234,soft
576,n02107908_2963,appenzeller
577,n02092002_15112,scottish_deerhound
578,n02092002_10060,scottish_deerhound
579,n02093754_2799,border_terrier
580,n02092002_6914,scottish_deerhound
581,n02085782_1224,japanese_spaniel
582,n02107908_754,appenzeller
583,n02090379_2280,redbone
584,n02090379_3556,redbone
585,n02097474_3234,tibetan_terrier
586,n02091032_55,italian_greyhound
587,n02098286_2454,west_highland_white_terrier
588,n02101006_3103,gordon_setter
589,n02111129_1851,leonberg
590,n02101388_2529,brittany_spaniel
591,n02098105_1789,soft
592,n02094114_347,norfolk_terrier
593,n02096585_2419,boston_bull
594,n02099429_1359,curly
595,n02086240_11420,shih
596,n02108422_567,bull_mastiff
597,n02106550_895,rottweiler
598,n02087046_4614,toy_terrier
599,n02110627_3144,affenpinscher
600,n02095570_4188,lakeland_terrier
601,n02108089_13526,boxer
602,n02101388_1222,brittany_spaniel
603,n02111500_6227,great_pyrenees
604,n02110958_16217,pug
605,n02105505_3356,komondor
606,n02096437_967,dandie_dinmont
607,n02087046_5541,toy_terrier
608,n02111889_5145,samoyed
609,n02113978_773,mexican_hairless
610,n02099712_2234,labrador_retriever
611,n02110958_6274,pug
612,n02087046_4808,toy_terrier
613,n02110627_6670,affenpinscher
614,n02088364_15315,beagle
615,n02095314_1717,wire
616,n02091134_232,whippet
617,n02111500_1590,great_pyrenees
618,n02091831_2094,saluki
619,n02093428_905,american_staffordshire_terrier
620,n02102973_720,irish_water_spaniel
621,n02085936_5103,maltese_dog
622,n02088466_1555,bloodhound
623,n02096177_2095,cairn
624,n02110958_4030,pug
625,n02097298_7631,scotch_terrier
626,n02098413_14608,lhasa
627,n02100877_838,irish_setter
628,n02085620_2479,chihuahua
629,n02089078_2021,black
630,n02089973_97,english_foxhound
631,n02110627_12512,affenpinscher
632,n02087046_3944,toy_terrier
633,n02112018_161,pomeranian
634,n02093859_998,kerry_blue_terrier
635,n02102973_1037,irish_water_spaniel
636,n02088094_11570,afghan_hound
637,n02105056_3767,groenendael
638,n02086240_745,shih
639,n02102177_4232,welsh_springer_spaniel
640,n02096294_1150,australian_terrier
641,n02113712_4170,miniature_poodle
642,n02100735_6358,english_setter
643,n02092339_3091,weimaraner
644,n02097130_5709,giant_schnauzer
645,n02091635_1164,otterhound
646,n02108422_4793,bull_mastiff
647,n02112350_10338,keeshond
648,n02109525_2104,saint_bernard
649,n02097298_1007,scotch_terrier
650,n02096177_308,cairn
651,n02096437_2508,dandie_dinmont
652,n02107574_3236,greater_swiss_mountain_dog
653,n02094433_1539,yorkshire_terrier
654,n02106662_1451,german_shepherd
655,n02091032_1360,italian_greyhound
656,n02097298_15004,scotch_terrier
657,n02100877_916,irish_setter
658,n02105641_1618,old_english_sheepdog
659,n02096585_976,boston_bull
660,n02094114_680,norfolk_terrier
661,n02108089_2608,boxer
662,n02085620_952,chihuahua
663,n02095570_2480,lakeland_terrier
664,n02113023_3324,pembroke
665,n02109047_5326,great_dane
666,n02089867_1987,walker_hound
667,n02097130_3018,giant_schnauzer
668,n02086079_1820,pekinese
669,n02113624_320,toy_poodle
670,n02107683_3609,bernese_mountain_dog
671,n02097130_262,giant_schnauzer
672,n02096177_218,cairn
673,n02101388_7643,brittany_spaniel
674,n02093754_6483,border_terrier
675,n02091635_3822,otterhound
676,n02098105_196,soft
677,n02105412_5373,kelpie
678,n02105412_150,kelpie
679,n02091244_1396,ibizan_hound
680,n02111500_1170,great_pyrenees
681,n02102177_368,welsh_springer_spaniel
682,n02111129_2785,leonberg
683,n02107683_5840,bernese_mountain_dog
684,n02111889_1762,samoyed
685,n02091635_1860,otterhound
686,n02093428_2574,american_staffordshire_terrier
687,n02086240_762,shih
688,n02110063_938,malamute
689,n02102480_633,sussex_spaniel
690,n02100735_7575,english_setter
691,n02087394_8742,rhodesian_ridgeback
692,n02097130_2969,giant_schnauzer
693,n02095889_4034,sealyham_terrier
694,n02113186_2433,cardigan
695,n02109525_13988,saint_bernard
696,n02091467_4110,norwegian_elkhound
697,n02093991_2126,irish_terrier
698,n02096437_4466,dandie_dinmont
699,n02100583_11119,vizsla
700,n02097658_2882,silky_terrier
701,n02091134_14567,whippet
702,n02106382_3856,bouvier_des_flandres
703,n02093428_3098,american_staffordshire_terrier
704,n02093991_4589,irish_terrier
705,n02088466_7002,bloodhound
706,n02105641_3317,old_english_sheepdog
707,n02102177_47,welsh_springer_spaniel
708,n02099429_841,curly
709,n02107908_1783,appenzeller
710,n02092339_7210,weimaraner
711,n02102040_3462,english_springer
712,n02104029_898,kuvasz
713,n02098286_526,west_highland_white_terrier
714,n02109525_3667,saint_bernard
715,n02086240_6819,shih
716,n02094433_2537,yorkshire_terrier
717,n02088238_6017,basset
718,n02101388_2999,brittany_spaniel
719,n02094433_1376,yorkshire_terrier
720,n02105162_7751,malinois
721,n02098413_3741,lhasa
722,n02113186_5819,cardigan
723,n02097209_2810,standard_schnauzer
724,n02110185_8966,siberian_husky
725,n02092002_13565,scottish_deerhound
726,n02102177_3114,welsh_springer_spaniel
727,n02089973_3299,english_foxhound
728,n02102480_105,sussex_spaniel
729,n02091134_1129,whippet
730,n02104029_3787,kuvasz
731,n02102480_4415,sussex_spaniel
732,n02108000_689,entlebucher
733,n02109961_1253,eskimo_dog
734,n02097658_8653,silky_terrier
735,n02092002_6001,scottish_deerhound
736,n02089078_3615,black
737,n02113023_11103,pembroke
738,n02092002_4921,scottish_deerhound
739,n02109525_8545,saint_bernard
740,n02094258_2513,norwich_terrier
741,n02094433_3613,yorkshire_terrier
742,n02090721_5536,irish_wolfhound
743,n02098105_3245,soft
744,n02098105_2456,soft
745,n02100583_6003,vizsla
746,n02104029_1268,kuvasz
747,n02095570_845,lakeland_terrier
748,n02112137_4760,chow
749,n02097298_4882,scotch_terrier
750,n02086910_2875,papillon
751,n02106550_12828,rottweiler
752,n02112137_16109,chow
753,n02111500_9264,great_pyrenees
754,n02100877_2732,irish_setter
755,n02110958_11958,pug
756,n02099601_1768,golden_retriever
757,n02096294_2411,australian_terrier
758,n02088238_8839,basset
759,n02106030_16173,collie
760,n02093256_5110,staffordshire_bullterrier
761,n02088094_13442,afghan_hound
762,n02092002_2590,scottish_deerhound
763,n02088238_10140,basset
764,n02099267_1624,flat
765,n02107312_27,miniature_pinscher
766,n02095570_4237,lakeland_terrier
767,n02113624_3808,toy_poodle
768,n02113023_3471,pembroke
769,n02111277_7851,newfoundland
770,n02099601_109,golden_retriever
771,n02115641_2701,dingo
772,n02096177_2463,cairn
773,n02112018_6121,pomeranian
774,n02088466_4169,bloodhound
775,n02088238_10054,basset
776,n02109047_10160,great_dane
777,n02108089_2482,boxer
778,n02085936_8089,maltese_dog
779,n02095570_4259,lakeland_terrier
780,n02108915_350,french_bulldog
781,n02096294_3632,australian_terrier
782,n02085782_3899,japanese_spaniel
783,n02085782_2100,japanese_spaniel
784,n02086646_1461,blenheim_spaniel
785,n02085782_309,japanese_spaniel
786,n02112706_2074,brabancon_griffon
787,n02108551_810,tibetan_mastiff
788,n02102177_656,welsh_springer_spaniel
789,n02110063_10751,malamute
790,n02099849_3619,chesapeake_bay_retriever
791,n02094114_315,norfolk_terrier
792,n02097298_8262,scotch_terrier
793,n02094114_1540,norfolk_terrier
794,n02091244_4367,ibizan_hound
795,n02091635_426,otterhound
796,n02105162_6578,malinois
797,n02101556_4028,clumber
798,n02090721_2101,irish_wolfhound
799,n02113978_1983,mexican_hairless
800,n02088466_8201,bloodhound
801,n02093859_3248,kerry_blue_terrier
802,n02109961_10660,eskimo_dog
803,n02091032_9115,italian_greyhound
804,n02100583_10425,vizsla
805,n02102177_2524,welsh_springer_spaniel
806,n02098105_1419,soft
807,n02100877_5229,irish_setter
808,n02111889_15038,samoyed
809,n02087046_1386,toy_terrier
810,n02099267_2379,flat
811,n02097047_4274,miniature_schnauzer
812,n02086240_1665,shih
813,n02102480_7212,sussex_spaniel
814,n02108915_9804,french_bulldog
815,n02115913_2579,dhole
816,n02091831_848,saluki
817,n02100583_10388,vizsla
818,n02094258_146,norwich_terrier
819,n02105855_3892,shetland_sheepdog
820,n02101388_5783,brittany_spaniel
821,n02090721_2347,irish_wolfhound
822,n02111129_2751,leonberg
823,n02105412_2599,kelpie
824,n02099601_5160,golden_retriever
825,n02111500_7583,great_pyrenees
826,n02110958_13930,pug
827,n02100735_1680,english_setter
828,n02088632_2055,bluetick
829,n02086910_6293,papillon
830,n02113023_476,pembroke
831,n02096585_1753,boston_bull
832,n02112706_1087,brabancon_griffon
833,n02112706_2184,brabancon_griffon
834,n02107312_854,miniature_pinscher
835,n02110958_12128,pug
836,n02112706_277,brabancon_griffon
837,n02101006_338,gordon_setter
838,n02108551_3305,tibetan_mastiff
839,n02088632_4584,bluetick
840,n02093256_291,staffordshire_bullterrier
841,n02093991_3952,irish_terrier
842,n02106166_4412,border_collie
843,n02098286_1490,west_highland_white_terrier
844,n02105505_4304,komondor
845,n02093647_562,bedlington_terrier
846,n02089973_2249,english_foxhound
847,n02099849_4767,chesapeake_bay_retriever
